,Country/Territory,IMF[1][12],IMF[1][12],World Bank[13],World Bank[13],United Nations[14],United Nations[14]
,Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
119,Haiti,24046,2024,19851,2023,18751,2022
120,Mozambique,22975,2024,20625,2023,18406,2022
121,Malta,22737,2024,20957,2023,18100,2022
122,Mongolia,21943,2024,19872,2023,17146,2022
123,Burkina Faso,21902,2024,20325,2023,19176,2022
124,Mali,21662,2024,20905,2023,18827,2022
125,Botswana,21418,2024,19396,2023,20352,2022
126,Benin,21371,2024,19673,2023,17396,2022
127,Guyana,21178,2024,16786,2023,14718,2022
128,Gabon,21013,2024,20516,2023,20132,2022
129,Jamaica,20098,2024,19423,2023,17097,2022
130,Nicaragua,18829,2024,17829,2023,15671,2022
131,Niger,18816,2024,16819,2023,15414,2022
132,Chad,18697,2024,13149,2023,16799,2022
133,Palestine,18602,[n 11]2023,17396,[n 11]2023,19111,[n 12]2022
134,Syria,—,—,8980,2021,18595,2022
135,Moldova,18356,[n 13]2024,16539,[n 13]2023,14510,[n 13]2022
136,Lebanon,21780,2024,17937,2023,39303,2022
137,Yemen,16940,2024,—,—,11007,2022
138,Madagascar,16465,2024,16032,2023,14954,2022
139,Mauritius,16359,2024,14397,2023,12898,2022
140,Brunei,15988,2024,15128,2023,16681,2022
141,North Macedonia,15873,2024,14761,2023,13711,2022
142,Kyrgyzstan,15770,2024,13782,2023,12560,2022
143,Congo,15501,2024,15321,2023,15344,2022
144,Laos,15190,2024,15843,2023,15362,2022
145,North Korea,—,—,—,—,15176,2022
146,Afghanistan,14467,2022,14502,2022,14174,2022
147,Bahamas,14390,2024,14339,2023,12897,2022
148,Rwanda,13701,2024,14098,2023,13312,2022
149,Tajikistan,13000,2024,12061,2023,10492,2022
150,Somalia,12804,2024,11680,2023,10420,2022
151,Namibia,12765,2024,12351,2023,12607,2022
152,Kosovo,11318,2024,10438,2023,9397,2022
153,Malawi,11241,2024,14084,2023,12558,2022
154,Equatorial Guinea,10708,2024,12117,2023,11767,2022
155,Mauritania,10628,2024,10453,2023,10997,2022
156,Togo,9832,2024,9171,2023,8087,2022
157,New Caledonia,—,—,9623,2022,9623,2022
158,Monaco,—,—,8784,2022,8772,2022
159,Montenegro,8010,2024,7405,2023,6229,2022
160,Bermuda,—,—,7828,2022,7546,2022
161,Liechtenstein,—,—,7365,2022,7757,2022
162,Maldives,7199,2024,6600,2023,6170,2022
163,Barbados,6863,2024,6394,2023,5699,2022
164,Cayman Islands,—,—,6601,2022,6281,2022
165,South Sudan,6517,2024,—,—,4616,2022
166,French Polynesia,—,—,5815,2022,5814,2022
167,Fiji,5801,2024,5495,2023,4979,2022
168,Eswatini,5085,2024,4598,2023,4326,2022
169,Liberia,4754,2024,4332,2023,3265,2022
170,Sierra Leone,4558,2024,3810,2023,3481,2022
171,Djibouti,4364,2024,4099,2023,4003,2022
172,Suriname,4337,2024,3782,2023,3620,2022
173,Aruba,4069,2024,3545,2022,3544,2022
174,Andorra,3897,2024,3728,2023,3376,2022
175,Belize,3296,2024,3282,2023,2830,2022
176,Bhutan,3110,2024,2898,2022,2898,2022
177,Burundi,3075,2024,2642,2023,4032,2022
178,Curaçao,—,—,3074,2022,3075,2022
179,Greenland,—,—,3236,2021,2926,2022
180,Central African Republic,2810,2024,2555,2023,2395,2022
181,Cape Verde,2718,2024,2587,2023,2314,2022
182,Gambia,2694,2024,2340,2023,2231,2022
183,Saint Lucia,2582,2024,2520,2023,2165,2022
184,Lesotho,2395,2024,2046,2023,2287,2022
185,Eritrea,—,—,—,—,2383,2022
186,Zanzibar,—,—,—,—,2361,2022
187,Seychelles,2203,2024,2141,2023,1994,2022
188,Guinea-Bissau,2151,2024,1966,2023,1574,2022
189,Antigua and Barbuda,2127,2024,2033,2023,1770,2022
190,San Marino,2033,2024,1855,2021,1780,2022
191,Timor-Leste,1992,2024,2243,2023,3204,2022
192,Solomon Islands,1707,2024,1631,2023,1597,2022
193,Sint Maarten,—,—,1623,2023,1572,2022
194,Comoros,1422,2024,1352,2023,1246,2022
195,Grenada,1406,2024,1320,2023,1192,2022
196,Turks and Caicos Islands,—,—,1402,2023,1138,2022
197,Vanuatu,1289,2024,1126,2023,985,2022
198,Saint Kitts and Nevis,1134,2024,1077,2023,979,2022
199,Saint Vincent and the Grenadines,1128,2024,1066,2023,946,2022
200,Samoa,1024,2024,934,2023,857,2022
201,São Tomé and Príncipe,751,2024,603,2023,546,2022
202,Dominica,708,2024,654,2023,612,2022
203,Tonga,581,2024,500,2022,488,2022
204,Micronesia,484,2024,460,2023,427,2022
205,Kiribati,311,2024,279,2023,223,2022
206,Palau,308,2024,263,2023,225,2022
207,Marshall Islands,305,2024,284,2023,279,2022
208,Nauru,161,2024,154,2023,147,2022
209,Tuvalu,66,2024,62,2023,59,2022
